date,ticker,weight,universe,method
2022-01-03,CCI,3.939674408407939e-18,Equity,Max-Sharpe (tangency)
2022-01-03,CMCSA,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,COP,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,CVX,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,D,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,DD,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,DIS,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,DOW,8.285411231748582e-19,Equity,Max-Sharpe (tangency)
2022-01-03,DUK,1.3037956442448755e-18,Equity,Max-Sharpe (tangency)
2022-01-03,EA,1.9715385477148766e-18,Equity,Max-Sharpe (tangency)
2022-01-03,GE,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,GILD,4.798405445204668e-18,Equity,Max-Sharpe (tangency)
2022-01-03,GS,1.1180385560759358e-17,Equity,Max-Sharpe (tangency)
2022-01-03,INTC,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,KO,2.1509271443341606e-18,Equity,Max-Sharpe (tangency)
2022-01-03,MMM,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,MRK,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,MS,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,NEE,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,NEM,0.08765469518554174,Equity,Max-Sharpe (tangency)
2022-01-03,NKE,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,NUE,0.12048902272603994,Equity,Max-Sharpe (tangency)
2022-01-03,NVDA,0.4054101174547781,Equity,Max-Sharpe (tangency)
2022-01-03,O,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,OXY,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,PLD,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,PSA,0.2954750940656755,Equity,Max-Sharpe (tangency)
2022-01-03,QCOM,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,SBUX,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,SHW,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,SLB,1.5273487706139428e-18,Equity,Max-Sharpe (tangency)
2022-01-03,SO,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,T,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,TMUS,1.266829515728483e-17,Equity,Max-Sharpe (tangency)
2022-01-03,TTWO,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,UPS,0.05049877031093276,Equity,Max-Sharpe (tangency)
2022-01-03,USB,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,V,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,WFC,0.0,Equity,Max-Sharpe (tangency)
2022-01-03,WMT,7.59466261614726e-18,Equity,Max-Sharpe (tangency)
2022-01-03,XOM,9.844615958761843e-19,Equity,Max-Sharpe (tangency)
2022-02-01,ABBV,0.15104187231680974,Equity,Max-Sharpe (tangency)
2022-02-01,ABT,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,ADBE,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,AEP,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,AMD,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,AMGN,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,AMT,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,BA,5.251347988005049e-19,Equity,Max-Sharpe (tangency)
2022-02-01,CAT,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,CCI,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,CMCSA,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,COP,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,CVX,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,D,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,DD,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,DIS,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,DOW,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,DUK,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,EA,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,GE,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,GILD,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,GS,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,INTC,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,KO,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,MMM,3.429899931273778e-19,Equity,Max-Sharpe (tangency)
2022-02-01,MRK,5.147787021263646e-19,Equity,Max-Sharpe (tangency)
2022-02-01,MS,5.3191543089923966e-17,Equity,Max-Sharpe (tangency)
2022-02-01,NEE,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,NEM,0.11222032112777665,Equity,Max-Sharpe (tangency)
2022-02-01,NKE,0.0,Equity,Max-Sharpe (tangency)
2022-02-01,NUE,0.07433176373604478,Equity,Max-Sharpe (tangency)
